epoch,train_loss,val_loss
1,23.934056283482867,0.3623474470750359
2,0.3032223674307223,0.3399015540391012
3,0.26908925722194277,0.2411974458283309
4,0.14722052741187006,0.04846717788645405
5,0.09645692972951742,0.016916187789128196
6,0.05221155293950301,0.011187338193924418
7,0.04063290849441421,0.04642686985204602
8,0.033546393679283776,0.03148345407632321
9,0.030728845582014323,0.01941040705734009
10,0.02589848928432577,0.003954176483849085
11,0.025707323544930553,0.0075072586286369135
12,0.02225132763558721,0.0019461882466664786
13,0.02139230022365678,0.0014486212562910123
14,0.02293250808397124,0.004754281342928586
15,0.016244429959490943,0.0005817814144694989
16,0.016927657366441536,0.003327553350358542
17,0.019324952107545736,0.0005767802619354217
18,0.020285306921264235,0.005345774877698443
19,0.01769102214535263,0.0010385718600484535
20,0.014890483874843595,0.004830576060129102
21,0.017062861118918176,0.0013716474179901433
22,0.014878661234574509,0.0014954086602887897
23,0.01396950189000685,0.0008128161002826105
24,0.012876541192756401,0.003802081119117424
25,0.01589525808276949,0.02524827606601443
26,0.013275032271587358,0.0013823793533076932
27,0.015209699921742462,0.00974058933029782
28,0.015461186220016767,0.00039313115227415917
29,0.011659873988108011,0.00846384732729754
30,0.014263110711300393,0.005070228916262789
31,0.012443812809570739,0.0027170363601059276
32,0.012414267005293906,0.006762752949520983
33,0.010179914007064306,0.000815335245554365
34,0.009937644379962295,0.0009053755790260215
35,0.010945680966119269,0.005646124406768756
36,0.01271810374928409,0.001197059127074175
37,0.01018230120813401,0.0002606156866076459
38,0.01059701137891746,0.0006306239367144762
39,0.011968769728193544,0.00655138900301238
40,0.009262940297431665,0.0006723526352876024
41,0.009995135677621421,0.0005806337444082674
42,0.007668683236606367,0.0013492218759088824
43,0.011364821624755399,0.009167626317049194
44,0.011646309193406592,0.0006698915554498977
45,0.00850256865208237,0.0004826327207870032
46,0.009211248692599826,0.0057306209967278275
47,0.009782439755058365,0.0009415989550642478
48,0.009649602582415684,0.004373007682243399
49,0.010810184504251443,0.0003066566899943724
50,0.011356657727414555,0.00023860482639415857
51,0.010494011043064862,0.0003204734100400184
52,0.0071017906792734675,0.0003353486104122452
53,0.0072813809398048915,0.003241616708838487
54,0.009220478929333793,0.0006065267241956051
55,0.007484755714570608,0.0004958103145994789
56,0.010014134394063214,0.0003528485720864342
57,0.007453653604800059,0.00046316057408149854
58,0.007530359655653128,0.00023596691070222836
59,0.007434966248229505,0.00025669437409493306
60,0.007869583202087057,0.0008875857075267083
61,0.0071007275069292514,0.00040632927474926813
62,0.007835615073049732,0.0004303175070165723
63,0.009197883801454556,0.0004395132146852045
64,0.008751170561421174,0.00016809841337877846
65,0.007718386931698569,0.001223714462136817
66,0.007392053983010345,0.001805323764893459
67,0.00830956639251922,0.0010065746576398379
68,0.007512873446775392,0.000510950385084373
69,0.007610707334053015,0.0003037064209465235
70,0.007232035061684861,0.006996427171958667
71,0.009611928032011226,0.000546303813097799
72,0.008426448944594198,0.0008403756587273058
73,0.007482904869881989,0.000575381461169211
74,0.007372689053669055,0.0002248423329156263
75,0.007866313170039796,0.0002653773295421054
76,0.006957921628291675,0.0002815789323342967
77,0.0068213898557562234,0.0002163099340709135
78,0.007737862186690633,0.0006875627838747549
79,0.00703208091524937,0.001193351726105756
80,0.006952416065818536,0.0002785828746938371
81,0.005813835999004467,0.0007018254511596802
82,0.00758785525085461,0.0003008712075346104
83,0.006997197802483559,0.0007300228070699019
84,0.006700394865349732,0.0004040689102904061
85,0.0067387997777048035,0.017434175447933097
86,0.0027578802597924648,0.0005416142882846199
87,0.0019971567368151618,0.00012766924417669458
88,0.0017055096199704272,0.00016409838524735553
89,0.001416091462714651,0.00018689831075094203
90,0.001660945255247905,0.0005783771914537657
91,0.0015793208073520545,0.00012320091383044256
92,0.0027979707229827946,0.0002856119328961357
93,0.002204603538816086,0.00019633710088384844
94,0.002278971990838517,0.00014184503209409142
95,0.0016313850615229117,0.0001388705854744043
96,0.0019375181087027589,0.00017023445793594688
97,0.0028149094487796484,0.00012031584625931194
98,0.00181620694276907,0.000124548363924034
99,0.002004446101163757,0.0002015294698566852
100,0.002003374731166065,0.0001561032992719999
101,0.0022310120753776404,0.0002524389912670009
102,0.0020858079417385694,0.00010610459851436532
103,0.0015954640463883704,0.00012732430576834248
104,0.002253173200213919,0.00013803262775377573
105,0.0018846648315566379,0.00017878283765152952
106,0.0015638760766179564,8.659236320656621e-05
107,0.0021591228316070413,0.000255841514408329
108,0.0021015473905238776,0.00012890844736501104
109,0.001977776048377485,8.917268786858908e-05
110,0.0019482946713842392,0.00021835078179844233
111,0.0015450461194210761,0.00013790178756979227
112,0.0017569747080857445,0.0003092326635898448
113,0.0016527891556967714,0.0006329135200436718
114,0.0015978213772698375,0.00015074489982363235
115,0.0020200246843046035,9.618329727859974e-05
116,0.002083721673990271,0.00045662282984455614
117,0.001862131997177311,0.0002447847863128985
118,0.0018226497770529864,0.0003800017803920505
119,0.0014699696036201582,0.0002231547462237955
120,0.0014274440466763073,0.00010658337916900737
121,0.0017827179105234404,0.0004764445121784012
122,0.0014323836209143197,0.00020952423220739618
123,0.0015468115699797094,9.276631546697016e-05
124,0.0018785844892698076,8.471302909568437e-05
125,0.0016083581675646753,0.0013663163489407858
126,0.001985962700786085,0.00013270651141840398
127,0.0024150903767095598,0.000920489760709935
128,0.001709704166074288,9.398893676617436e-05
129,0.0015806945217690944,0.0005106557322859899
130,0.0016704551241613157,8.605672330264276e-05
131,0.0013270955974062247,0.0003570720749823381
132,0.00144238950035248,0.00015052832042821343
133,0.002146822640989212,0.00014980764470607242
134,0.001419775609152477,0.00010255368067743655
135,0.0019050605448548415,9.321819446636097e-05
136,0.0014962631508070668,0.00013593475178745422
137,0.0015369405075731808,7.808501300007028e-05
138,0.0013624115368058142,8.521291556576845e-05
139,0.0021270051184961664,0.0001407796148497676
140,0.0016786183017266966,8.911021946688956e-05
141,0.001819721627566086,0.0001348310887078788
142,0.0016672709860327192,0.003388553722951207
143,0.0015133101619908623,0.0001033992059865958
144,0.0013475086303016452,0.0004983002176183352
145,0.001733690881036107,9.89738203029234e-05
146,0.0015566982063561403,0.0001402865085625448
147,0.0016938667264195593,0.00010020463253061678
148,0.0019476995841904638,0.00013727493706599904
149,0.0017735187042797929,0.00010712392267328815
150,0.0014937027990705434,0.00010366090719840714
151,0.0018676011244885514,0.00013176926382189424
152,0.001312382015823408,0.001214279335326023
153,0.0018124278472892825,0.00012371566300047444
154,0.001596071492850691,0.00013752580356116693
155,0.0015946233337332484,0.00020816153091649618
156,0.0018271673352571144,0.0001785406437247117
157,0.0016938963897413963,0.0003792889232698326
158,0.0018715736882506519,0.0011864551656742292
159,0.0008904985081367254,6.205836626047398e-05
160,0.00046306061551501027,6.623998285847042e-05
161,0.00046691308062728854,6.631598510467946e-05
162,0.0005359114145519503,6.18121363793555e-05
163,0.0005939515352536547,9.571226171805262e-05
164,0.0005359439169571696,5.7847535405006e-05
165,0.0004643200509610426,6.109969064687781e-05
166,0.0005519606487155492,0.00015459843885067844
167,0.0005556273656925988,5.761312522009215e-05
168,0.0006533402139590122,8.935720134694354e-05
169,0.000602840807762514,7.47736963469094e-05
170,0.00048030632069297484,7.009470063454719e-05
171,0.0005014748594870745,0.00012124380245429026
172,0.00040236536009406016,5.3955589772944e-05
173,0.0005825877137527885,6.351023608368675e-05
174,0.0006692895642761418,8.94131641353276e-05
175,0.0005931266102629811,6.662102284919786e-05
176,0.000740612001163387,6.261360700525622e-05
177,0.0005914923118520633,7.982957503093358e-05
178,0.0005112419933162734,5.301397615191965e-05
179,0.000446751758360035,7.341876074519803e-05
180,0.0006189307766160737,6.595276571564304e-05
181,0.00048215994062196765,7.72828213081137e-05
182,0.0005089439432643401,6.523531425601834e-05
183,0.000504618119469826,6.0028397219930764e-05
184,0.0004994345625063943,7.474503670470268e-05
185,0.00047595999493547795,6.178853056463097e-05
186,0.000568319247987493,5.7414393024397345e-05
187,0.0004482769432987626,5.910086875175987e-05
